Domain,Count,Sample URL
shopstyle.it,644,https://shopstyle.it/l/cgRZ9
go.shopmy.us,184,https://go.shopmy.us/p-8790612
bit.ly,60,https://bit.ly/3zWl59L
click.linksynergy.com,34,https://click.linksynergy.com/deeplink?id=HI9qJnKdCI0&mid=43172&murl=https://www.mytheresa.com/us/en/women/the-row-gala-cady-wide-leg-pants-black-p00670061&u1=Laura-NL-S036073-2024-09-23
shareasale.com,18,https://shareasale.com/r.cfm?b=2506991&u=2945491&m=151831&urllink=https://laurenmanoogian.com/products/double-knit-trench-2&afftrack=
chavastudio.com,7,https://chavastudio.com/
www.phoebephilo.com,7,https://www.phoebephilo.com/en_gb/milanese-jacket-pale-lilac-wool
www.instagram.com,6,https://www.instagram.com/p/DAksrlFCISd/?img_index=1
stoffa.co,6,https://stoffa.co/products/mto-ivory-wool-silk-wave-crewneck-sweater?variant=gid://shopify/ProductVariant/48541606150421
us.soeur.fr,6,https://us.soeur.fr/?utm_source=affilae_content&utm_medium=affiliate&utm_campaign=SMTM&ae=433&aev=Laura-NL-S039695-2024-10-20
shopattersee.com,5,https://shopattersee.com/products/the-twill-mini-skirt-navy
babaa.es,5,https://babaa.es/category/women/jumpers/
nu-swim.com,5,https://nu-swim.com/
www.shopneighbour.com,4,https://www.shopneighbour.com/en-us/collections/cristaseya-womens/products/cristaseya-womens-corduroy-pleated-trousers-green
shop-vestige.com,4,https://shop-vestige.com/
rachelcomey.com,4,https://rachelcomey.com/
www.zara.com,4,https://www.zara.com/
www.oldstonetrade.com,3,https://www.oldstonetrade.com/
flore-flore.com,3,https://flore-flore.com/
emreitz.com,3,https://emreitz.com/
tibi.com,3,https://tibi.com/products/shirting-gabe-oversized-shirt-blue
fm669.us,3,https://fm669.us/
www.arket.com,3,https://www.arket.com/en/index.html
www.brookecallahan.com,3,https://www.brookecallahan.com/shop
www.jamesstreetco.com,3,https://www.jamesstreetco.com/products/sloane-vee-aw24
gimaguas.com,3,https://gimaguas.com/products/baru-wire-bag-silver
www.norlha.com,2,https://www.norlha.com/collections/luxury-yak-wool-scarves-shawls-accessories/products/overfelt-quartz-scarf
fforme.com,2,https://fforme.com/products/zoe-zip-leather-jacket
samanamel.com,2,https://samanamel.com/
www.therow.com,2,https://www.therow.com/
bedjudewillford.com,2,https://bedjudewillford.com/products/chesterfield-coat-lime
www.us.annethomas.fr,2,https://www.us.annethomas.fr/
www.nonnalietta.com,2,https://www.nonnalietta.com/
tricotparis.com,2,https://tricotparis.com/
world.skallstudio.com,2,https://world.skallstudio.com/products/jude-skirt-skirt-black-1
bonadrag.com,2,https://bonadrag.com/laurareilly___
lensemble.us,2,https://lensemble.us/
www.resee.com,2,https://www.resee.com/en/
maydi.co,2,https://maydi.co/product/parana/
